signal_window,k_sigma,total_return_pct,annualized_return_compounding,annualized_return_simple,sharpe_ratio,calmar_ratio,max_drawdown_pct,trading_frequency_per_year,avg_holding_period_days,win_rate_pct,profit_factor,num_trades,avg_win_pct,avg_loss_pct
15,1.5,45.43,5.51,6.5,0.166,0.224,-24.55,7.6,12.8,49.06,1.717,53,4.895,-2.746
60,1.0,39.52,4.88,5.66,0.155,0.089,-54.64,11.3,15.2,48.1,1.269,79,6.036,-4.41
60,0.8,32.22,4.08,4.61,0.141,0.069,-59.24,12.6,14.8,48.86,1.236,88,5.096,-3.941
15,2.0,39.91,4.92,5.71,0.127,0.245,-20.12,4.6,14.6,53.12,1.934,32,5.507,-3.228
60,1.2,23.72,3.09,3.39,0.077,0.057,-53.85,9.9,15.5,46.38,1.193,69,5.985,-4.34
10,2.0,32.28,4.08,4.62,0.068,0.209,-19.54,5.0,11.6,45.71,1.74,35,5.507,-2.665
45,1.0,17.2,2.3,2.46,0.043,0.048,-47.67,12.6,13.6,43.18,1.163,88,5.054,-3.303
20,1.2,18.36,2.44,2.63,0.023,0.06,-40.4,9.9,13.0,46.38,1.199,69,4.93,-3.555
45,1.2,16.65,2.23,2.38,0.021,0.057,-39.43,10.7,15.0,46.67,1.169,75,4.947,-3.703
10,1.5,19.84,2.62,2.84,0.004,0.067,-38.97,8.2,11.3,43.86,1.255,57,5.227,-3.253
20,2.0,22.91,3.0,3.28,-0.007,0.151,-19.9,4.4,15.9,45.16,1.483,31,5.971,-3.316
15,1.2,8.86,1.22,1.27,-0.018,0.025,-49.65,10.7,11.5,38.67,1.126,75,5.192,-2.907
45,0.8,-8.59,-1.28,-1.23,-0.051,-0.023,-54.53,14.0,12.9,42.86,1.008,98,4.651,-3.461
20,1.5,3.61,0.51,0.52,-0.061,0.011,-44.72,7.3,14.4,41.18,1.077,51,5.913,-3.842
30,1.2,5.33,0.75,0.76,-0.068,0.017,-42.91,9.7,13.8,45.59,1.095,68,4.602,-3.52
30,1.5,2.12,0.3,0.3,-0.088,0.008,-38.93,8.0,14.6,44.64,1.074,56,4.526,-3.398
30,1.0,-18.32,-2.85,-2.62,-0.146,-0.049,-57.78,11.7,12.9,42.68,0.935,82,4.585,-3.65
90,0.8,-14.63,-2.24,-2.09,-0.151,-0.053,-42.21,12.7,15.0,47.19,0.971,89,4.613,-4.243
90,1.0,-18.76,-2.93,-2.68,-0.182,-0.065,-44.86,11.3,15.4,45.57,0.949,79,5.093,-4.493
10,2.5,-3.03,-0.44,-0.43,-0.21,-0.015,-29.6,2.6,11.6,38.89,0.965,18,5.526,-3.643
90,0.6,-26.38,-4.29,-3.78,-0.225,-0.086,-50.04,13.6,14.6,44.21,0.919,95,4.729,-4.077
5,2.5,-17.47,-2.71,-2.5,-0.393,-0.097,-27.94,3.0,8.4,33.33,0.677,21,4.88,-3.604
5,1.5,-86.71,-25.08,-12.41,-0.48,-0.279,-89.78,12.6,7.2,37.5,0.571,88,3.325,-3.495
5,2.0,-65.41,-14.1,-9.36,-0.656,-0.207,-68.08,6.0,8.6,38.1,0.439,42,3.163,-4.433
