signal_window,k_sigma,total_return_pct,annualized_return_compounding,annualized_return_simple,sharpe_ratio,calmar_ratio,max_drawdown_pct,trading_frequency_per_year,avg_holding_period_days,win_rate_pct,profit_factor,num_trades,avg_win_pct,avg_loss_pct
15,1.2,-52.29,-10.05,-7.48,-0.065,-0.112,-89.84,11.4,11.2,32.5,0.73,80,4.89,-3.226
30,1.0,-94.43,-33.84,-13.51,-0.113,-0.348,-97.13,11.6,13.5,35.8,0.631,81,5.393,-4.763
10,1.5,-9.85,-1.47,-1.41,-0.132,-0.028,-51.73,8.3,11.1,39.66,0.956,58,4.33,-2.976
5,2.5,12.05,1.64,1.72,-0.145,0.09,-18.17,3.0,9.0,47.62,1.498,21,4.449,-2.701
10,2.0,3.06,0.43,0.44,-0.153,0.012,-37.24,5.2,11.5,44.44,1.097,36,4.804,-3.502
10,2.5,9.51,1.31,1.36,-0.16,0.036,-36.48,2.6,11.6,44.44,1.29,18,6.565,-4.07
90,0.8,-54.04,-10.53,-7.73,-0.212,-0.152,-69.22,13.6,12.5,35.79,0.814,95,5.815,-3.98
45,0.8,-37.08,-6.42,-5.31,-0.234,-0.111,-57.78,12.9,13.1,41.11,0.85,90,4.748,-3.899
15,1.5,-43.56,-7.86,-6.23,-0.24,-0.111,-70.69,8.7,12.0,37.7,0.72,61,4.45,-3.739
45,1.0,-47.11,-8.71,-6.74,-0.244,-0.137,-63.4,11.9,13.4,39.76,0.795,83,4.97,-4.125
90,0.6,-53.14,-10.28,-7.6,-0.264,-0.165,-62.28,15.2,11.9,38.68,0.827,106,5.021,-3.829
90,1.0,-59.89,-12.25,-8.57,-0.278,-0.176,-69.47,12.3,13.1,37.21,0.78,86,5.646,-4.29
60,1.2,-23.88,-3.83,-3.42,-0.291,-0.082,-46.55,9.2,14.6,37.5,0.866,64,5.807,-4.025
45,1.2,-54.1,-10.54,-7.74,-0.297,-0.157,-67.36,10.4,14.2,38.36,0.742,73,5.184,-4.35
5,1.5,-36.24,-6.24,-5.19,-0.309,-0.103,-60.61,9.9,7.5,40.58,0.795,69,3.816,-3.278
5,2.0,-19.89,-3.12,-2.85,-0.36,-0.088,-35.33,5.9,7.9,39.02,0.78,41,3.724,-3.057
30,1.2,-101.07,,-14.46,-0.372,,-104.22,10.0,14.2,35.71,0.579,70,5.478,-5.252
20,1.2,-70.28,-15.94,-10.06,-0.383,-0.207,-77.0,10.0,13.6,32.86,0.655,70,5.529,-4.131
30,1.5,-39.49,-6.94,-5.65,-0.39,-0.13,-53.3,8.0,15.3,46.43,0.794,56,5.328,-5.817
20,1.5,-61.72,-12.84,-8.83,-0.394,-0.179,-71.81,8.4,13.8,30.51,0.648,59,6.04,-4.093
20,2.0,-30.77,-5.13,-4.4,-0.487,-0.112,-45.71,5.3,14.8,48.65,0.763,37,5.123,-6.364
15,2.0,-28.69,-4.72,-4.11,-0.494,-0.112,-42.02,4.4,13.2,32.26,0.747,31,8.01,-5.105
60,0.8,-66.03,-14.32,-9.45,-0.605,-0.181,-79.2,13.2,12.7,39.13,0.735,92,4.961,-4.339
60,1.0,-79.95,-20.54,-11.44,-0.627,-0.234,-87.82,12.0,13.0,39.29,0.672,84,4.873,-4.695
