signal_window,k_sigma,total_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win,avg_loss,profit_factor,avg_hold_days
45,0.8,2.8145507147624345e+28,3.64,-8.15,87,42.53,9.05541453780279e+26,-9.60706058158282e+26,0.698,12.6
90,0.6,1.629906306372057e+27,3.552,-8.84,83,45.78,3.9645299269947e+24,-8.218587689384043e+25,0.041,15.2
60,0.8,7.841635804010164e+25,3.451,-8.97,78,51.28,1.2907289758546246e+24,-5.338533929958605e+24,0.255,14.8
90,0.8,5.380327019818264e+25,3.444,-8.84,78,48.72,3.4955035211133646e+23,-2.1940466498307435e+24,0.151,15.6
45,1.0,3.1070558885852474e+25,3.423,-8.97,78,42.31,7.990574718362405e+23,-3.6280396239035795e+24,0.162,13.3
30,1.0,3.5641950789420655e+23,3.271,-8.99,72,37.5,5.514433740007329e+21,-1.1495575904471025e+22,0.288,12.5
60,1.0,3.029295398282614e+23,3.268,-11.91,70,50.0,4.885809013460529e+21,-2.560793478159173e+22,0.191,15.2
5,1.5,2.9727928399061235e+23,3.263,-12.91,72,38.89,1.2992717414271387e+21,-1.526326947352684e+22,0.054,7.5
90,1.0,2.1497381307548487e+23,3.256,-8.84,70,45.71,1.1558715217042867e+21,-1.870510985843579e+22,0.052,15.9
45,1.2,7.879232875594282e+21,3.138,-7.74,66,46.97,2.1616942793001606e+20,-1.2691064394628549e+21,0.151,14.7
15,1.2,3.3594110517875164e+21,3.103,-6.1,65,35.38,7.16315361582943e+20,-1.1719416957604772e+20,3.347,10.7
60,1.2,2.7318644336253554e+20,3.015,-11.91,60,48.33,4.976200250501282e+18,-2.71346467095432e+19,0.172,15.6
30,1.2,9.972669063544186e+19,2.974,-9.29,60,41.67,2.913966603390894e+18,-9.209652146698756e+18,0.226,13.0
20,1.2,5.638905835914915e+19,2.955,-7.74,59,42.37,8.847338529735498e+18,-3.5355237083491246e+18,1.84,12.4
10,1.5,5.5655773879235336e+16,2.687,-5.46,49,38.78,2521121202735574.5,-834408991361477.8,1.914,10.7
30,1.5,5.113655149316364e+16,2.676,-9.29,49,42.86,4258856759647337.0,-3023813981505349.0,1.056,14.2
15,1.5,2065301707685453.5,2.552,-4.98,44,45.45,231344963896909.75,-20738310349695.78,9.296,12.5
20,1.5,813363043907081.5,2.505,-7.74,43,34.88,55361417621908.12,-95356368498594.1,0.311,13.7
5,2.0,4906902283325.18,2.273,-12.91,36,41.67,153739200863.87,-392212299691.42,0.28,9.2
10,2.0,14910164369.36,1.995,-4.98,27,40.74,1396434105.82,-308568776.08,3.111,11.3
