signal_window,k_sigma,total_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win,avg_loss,profit_factor,avg_hold_days
90,0.6,2.4797217363331534e+31,3.847,-11.86,97,39.18,1.1928037921297902e+28,-5.980758206016635e+29,0.013,11.7
90,0.8,1.2040823225056567e+28,3.612,-11.86,86,36.05,1.47913294214175e+25,-3.8025339393193126e+26,0.022,12.3
60,0.8,3.086089150456835e+26,3.493,-10.24,81,37.04,2.2465108925831487e+24,-1.96395496384147e+25,0.067,12.3
45,0.8,1.7829751143637285e+26,3.474,-11.86,80,38.75,1.7771669465350283e+24,-5.571022257811815e+24,0.202,12.9
90,1.0,4.657282719847754e+25,3.436,-11.86,78,38.46,2.1279064087810443e+23,-4.2041399469218387e+24,0.032,12.9
45,1.0,2.7068342256806665e+24,3.337,-11.86,74,37.84,3.145753462251083e+22,-9.048371963176423e+22,0.212,13.1
60,1.0,2.3497144842246863e+24,3.334,-8.77,74,37.84,1.8435916208843551e+22,-1.6679667215657455e+23,0.067,12.6
30,1.0,7.119381704448015e+22,3.206,-12.09,70,34.29,3.110501223794409e+20,-2.1303318199989185e+21,0.076,13.4
15,1.2,1.1602758688007407e+22,3.147,-8.26,67,31.34,1.4275864185992252e+21,-8.646571072119759e+19,7.537,11.0
45,1.2,5.112636891165111e+21,3.122,-11.86,65,36.92,3.7625419467076125e+19,-2.2697379000015805e+20,0.097,13.8
5,1.5,1.9708420986145286e+20,3.001,-8.27,60,41.67,1.3340122887683236e+19,-1.5782869776633088e+18,6.037,7.2
30,1.2,1.2986281660842613e+20,2.98,-12.09,61,34.43,1.3471473620254272e+18,-9.123716065805588e+18,0.078,13.8
20,1.2,1.7607713198620131e+19,2.905,-11.11,58,27.59,6.55225503982869e+17,-1.7633975331396613e+18,0.142,13.6
60,1.2,1.2496766545667455e+19,2.899,-7.8,56,35.71,5.697537530177089e+17,-1.3158577678098954e+18,0.241,14.1
15,1.5,1.797717207126754e+17,2.729,-9.6,51,35.29,1.7083336382033828e+16,-2014995858627043.8,4.624,11.9
30,1.5,4.311049977189807e+16,2.673,-6.83,49,44.9,561530742148518.2,-4486212981744964.0,0.102,14.9
20,1.5,3.655315961666409e+16,2.664,-11.11,49,24.49,1014700150299443.2,-2624708138342635.0,0.125,13.8
10,1.5,1.3991761677289938e+16,2.633,-8.27,47,40.43,584577704857362.4,-79154148698269.05,5.011,11.4
5,2.0,1581268685557.04,2.228,-8.93,34,38.24,510940604391.26,-85422262600.24,3.703,7.8
20,2.0,162798904182.28,2.108,-12.09,31,41.94,1254613151.8,-23345480854.0,0.039,14.6
