deferred,equity,n_overlap_raw,n_overlap_ffilled,first_date,last_date,passes_60_gate
HGN26.CMX,ROK,1255,1255,2021-04-29,2026-04-28,True
HGN26.CMX,TEL,1255,1255,2021-04-29,2026-04-28,True
HGU26.CMX,ROK,1213,1213,2021-06-29,2026-04-28,True
HGU26.CMX,TEL,1213,1213,2021-06-29,2026-04-28,True
HGZ25.CMX,ROK,1319,1319,2020-09-29,2025-12-29,True
HGZ25.CMX,TEL,1319,1319,2020-09-29,2025-12-29,True
HGZ26.CMX,ROK,1149,1149,2021-09-29,2026-04-28,True
HGZ26.CMX,TEL,1149,1149,2021-09-29,2026-04-28,True
HGZ27.CMX,ROK,896,896,2022-09-29,2026-04-27,True
HGZ27.CMX,TEL,896,896,2022-09-29,2026-04-27,True
