equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
ROK,HG=F front-month (original baseline),1.0,15,2017-01-03,2020-02-28,793,0.3195753684322974,False,0.4810307668224177,,10,0.45246802449957635,,,,,1,0.054596322364963604,False,0.5214371390585337,0.1278190042997014
TEL,HG=F front-month (original baseline),1.0,15,2017-01-03,2020-02-28,793,0.4422964647593598,False,0.5984010993803104,,10,0.6087714427341362,,,,,1,0.0937085871616827,False,0.3416124997659398,0.08768265784290774
ROK,HGN26.CMX level,33.11,30,2021-04-29,2026-04-28,1255,0.1178405626343415,False,0.34130431344154966,,130,0.0811028670647853,0.2512312908909857,0.47062304861680593,0.9294766960393614,0.9265917518183843,4,0.05549280398649972,False,0.3250582919589941,0.045823244687057896
ROK,HGN26.CMX spread,33.11,30,2021-04-29,2026-04-28,1255,0.81846353836831,False,0.9301946443484135,0.0621,130,0.36937113345986833,0.6062236388715281,0.464136068682308,0.6593554499022143,0.902497653794311,3,0.17486183808999992,False,-0.0002447481991351147,0.0002752223687843003
ROK,HG=F front-month (matched HGN26.CMX window),1.0,30,2021-04-29,2026-04-28,1255,0.0909744664833601,False,0.34130431344154966,,130,0.05978675994076459,0.16630405891389818,0.32453654195134135,0.7937780822033695,0.7151734540244694,23,0.029188313477867767,True,0.24952076579793858,0.033779338983329854
ROK,HGN26.CMX level,33.11,60,2021-04-29,2026-04-28,1255,0.1178405626343415,False,0.34130431344154966,,130,0.0811028670647853,0.2512312908909857,0.47062304861680593,0.9294766960393614,0.9265917518183843,4,0.05549280398649972,False,0.25965747412732954,0.029008969349224256
ROK,HGN26.CMX spread,33.11,60,2021-04-29,2026-04-28,1255,0.81846353836831,False,0.9301946443484135,0.0621,130,0.36937113345986833,0.6062236388715281,0.464136068682308,0.6593554499022143,0.902497653794311,3,0.17486183808999992,False,0.00010168582452708251,5.7513825188815204e-05
ROK,HG=F front-month (matched HGN26.CMX window),1.0,60,2021-04-29,2026-04-28,1255,0.0909744664833601,False,0.34130431344154966,,130,0.05978675994076459,0.16630405891389818,0.32453654195134135,0.7937780822033695,0.7151734540244694,23,0.029188313477867767,True,0.2414260435186018,0.03257326601015298
ROK,HGN26.CMX level,33.11,90,2021-04-29,2026-04-28,1255,0.1178405626343415,False,0.34130431344154966,,130,0.0811028670647853,0.2512312908909857,0.47062304861680593,0.9294766960393614,0.9265917518183843,4,0.05549280398649972,False,0.19650426365012924,0.017399387566435
ROK,HGN26.CMX spread,33.11,90,2021-04-29,2026-04-28,1255,0.81846353836831,False,0.9301946443484135,0.0621,130,0.36937113345986833,0.6062236388715281,0.464136068682308,0.6593554499022143,0.902497653794311,3,0.17486183808999992,False,-1.9598177958101012e-05,2.504239701939248e-06
ROK,HG=F front-month (matched HGN26.CMX window),1.0,90,2021-04-29,2026-04-28,1255,0.0909744664833601,False,0.34130431344154966,,130,0.05978675994076459,0.16630405891389818,0.32453654195134135,0.7937780822033695,0.7151734540244694,23,0.029188313477867767,True,0.22581683407020217,0.03038868681681961
TEL,HGN26.CMX level,33.11,30,2021-04-29,2026-04-28,1255,0.10261335621793649,False,0.34130431344154966,,130,0.257482647399762,0.017312403909276568,0.12959626277258185,0.1601496363844834,0.03363124998082437,19,0.013268670747029868,True,0.26240136021811766,0.04723367755814678
TEL,HGN26.CMX spread,33.11,30,2021-04-29,2026-04-28,1255,0.9688491350965497,False,0.978984315683333,0.0621,130,0.29913539604044276,0.8035675988727676,0.9476949803514141,0.9842934013981895,0.980337117775068,3,0.13289532281795155,False,-0.00022288849381282497,0.0003609975303938695
TEL,HG=F front-month (matched HGN26.CMX window),1.0,30,2021-04-29,2026-04-28,1255,0.12654066990278068,False,0.34130431344154966,,130,0.15490565615238164,0.012556372137832953,0.06630755579368522,0.13067513790575275,0.05151377270050609,22,0.007200964585771683,True,0.2123976118326059,0.03871624887073222
TEL,HGN26.CMX level,33.11,60,2021-04-29,2026-04-28,1255,0.10261335621793649,False,0.34130431344154966,,130,0.257482647399762,0.017312403909276568,0.12959626277258185,0.1601496363844834,0.03363124998082437,19,0.013268670747029868,True,0.12743320544154013,0.01059480506463506
TEL,HGN26.CMX spread,33.11,60,2021-04-29,2026-04-28,1255,0.9688491350965497,False,0.978984315683333,0.0621,130,0.29913539604044276,0.8035675988727676,0.9476949803514141,0.9842934013981895,0.980337117775068,3,0.13289532281795155,False,0.0002775364723757954,0.0006497199654924568
TEL,HG=F front-month (matched HGN26.CMX window),1.0,60,2021-04-29,2026-04-28,1255,0.12654066990278068,False,0.34130431344154966,,130,0.15490565615238164,0.012556372137832953,0.06630755579368522,0.13067513790575275,0.05151377270050609,22,0.007200964585771683,True,0.134781208422152,0.015393907613295954
TEL,HGN26.CMX level,33.11,90,2021-04-29,2026-04-28,1255,0.10261335621793649,False,0.34130431344154966,,130,0.257482647399762,0.017312403909276568,0.12959626277258185,0.1601496363844834,0.03363124998082437,19,0.013268670747029868,True,0.12335177297407565,0.007751323483961237
