equity,commodity_series,lag_days,beta,t_stat,p_value,n_observations
ROK,HG=F front-month,5,-0.07048720429247113,-4.547813605560685,5.52008873058505e-06,6428
ROK,HG=F front-month,20,0.0004749785651690764,0.03078010014865735,0.9754458688040941,6413
ROK,HG=F front-month,60,-0.03057900859012807,-1.9817808564137667,0.04754668153821831,6373
ROK,HG=F front-month,90,-0.003921537551933981,-0.25331472698902163,0.8000332286902636,6343
ROK,HG=F front-month,130,-0.02161221451360999,-1.3910815162879946,0.164249825650485,6303
ROK,HG=F front-month,180,0.01284465399765175,0.8272090876769906,0.4081501375481028,6253
ROK,HG=F front-month,252,0.009569184315269057,0.6015617155682669,0.5474879885384345,6181
ROK,HGN26.CMX level,5,-0.04029733345892827,-1.1411168590495764,0.2540403882246022,1249
ROK,HGN26.CMX level,20,-0.023897408647146175,-0.6704012196256875,0.5027277022583313,1234
ROK,HGN26.CMX level,60,-0.015461155542805857,-0.4202374535733835,0.6743877366842363,1194
ROK,HGN26.CMX level,90,-0.018279703226912317,-0.47712472955928137,0.6333630261742401,1164
ROK,HGN26.CMX level,130,0.08607187736061557,2.205137569371267,0.027646709743983484,1124
ROK,HGN26.CMX level,180,-0.03293178231928346,-0.8159323966200644,0.41472005971678616,1074
ROK,HGN26.CMX level,252,0.012370026231951372,0.25710897139766775,0.7971475436005341,1002
ROK,HGN26.CMX spread,5,-7.576564029787098e-05,-0.2682255865707844,0.7885700793960276,1248
ROK,HGN26.CMX spread,20,0.000402724724481139,1.4219041115568642,0.155307396065768,1233
ROK,HGN26.CMX spread,60,-0.000363220365372598,-1.2690895844119274,0.20465706637608072,1193
ROK,HGN26.CMX spread,90,0.00012793795614992554,0.44231970145606464,0.6583402612411831,1163
ROK,HGN26.CMX spread,130,0.0002564869237714972,0.8814824045560878,0.3782457310010082,1123
ROK,HGN26.CMX spread,180,-5.5883358539371844e-05,-0.1894198617521633,0.8497996495447722,1073
ROK,HGN26.CMX spread,252,0.00017047420750340998,0.5740887956537183,0.5660369463702928,1001
ROK,HGU26.CMX level,5,-0.04238159594427616,-1.1624105553077129,0.24529890110809965,1207
ROK,HGU26.CMX level,20,-0.029385317342727743,-0.7978625718246001,0.42510942609525415,1192
ROK,HGU26.CMX level,60,-0.016913071327024232,-0.4433104134738268,0.657624608355133,1152
ROK,HGU26.CMX level,90,-0.02127629999592321,-0.5384862734601727,0.5903483800602398,1122
ROK,HGU26.CMX level,130,0.08976504626426145,2.219540724000875,0.026657077017833875,1082
ROK,HGU26.CMX level,180,-0.026372498734806054,-0.6359410290481428,0.5249561335502704,1032
ROK,HGU26.CMX level,252,-0.014096663527289922,-0.29268982561731216,0.7698226280243955,960
ROK,HGU26.CMX spread,5,-4.817596669392592e-05,-0.1352350813083062,0.8924486343690046,1205
ROK,HGU26.CMX spread,20,8.752816549026802e-05,0.24473465763987765,0.806704154744603,1190
ROK,HGU26.CMX spread,60,-0.00019711856328060554,-0.5439840034170148,0.5865581098037811,1150
ROK,HGU26.CMX spread,90,-0.00010796729824936424,-0.2969214497126385,0.7665816337972238,1120
ROK,HGU26.CMX spread,130,0.00021398587292171322,0.5822815496282696,0.5604988098408692,1080
ROK,HGU26.CMX spread,180,-0.00031603987300244025,-0.8566251707195737,0.39185170700585437,1030
ROK,HGU26.CMX spread,252,0.00032759635263596864,0.9110262939870186,0.3625111689817131,958
ROK,HGZ25.CMX level,5,-0.023665422178030207,-0.6897065769414646,0.49050079099366084,1313
ROK,HGZ25.CMX level,20,-0.0484692660523805,-1.4005512918062193,0.1615876640406045,1298
ROK,HGZ25.CMX level,60,-0.024285217353625595,-0.6859820152736722,0.4928510518170116,1258
ROK,HGZ25.CMX level,90,-0.03333013363698607,-0.9378055515965978,0.34852905265312506,1228
ROK,HGZ25.CMX level,130,0.029899416930737197,0.7285818393424855,0.46640132450931393,1188
ROK,HGZ25.CMX level,180,-0.057509737698789434,-1.3486409911448434,0.17772109918458243,1138
ROK,HGZ25.CMX level,252,-0.012262125933727957,-0.26268681452159043,0.792842833668811,1066
ROK,HGZ25.CMX spread,5,0.0001724942254236486,0.7536297868923556,0.4512086540630966,1296
ROK,HGZ25.CMX spread,20,-0.00018088617189203303,-0.7908847224954879,0.4291561916237928,1296
ROK,HGZ25.CMX spread,60,-0.000313952242478923,-1.3701144288020042,0.17089623022431066,1257
ROK,HGZ25.CMX spread,90,0.00010586986706041415,0.4624142430014767,0.6438664069344662,1227
ROK,HGZ25.CMX spread,130,-8.085939195961438e-05,-0.35076616054185733,0.725826131686917,1187
ROK,HGZ25.CMX spread,180,0.00018008823809606808,0.7705540230213324,0.4411316830032117,1137
ROK,HGZ25.CMX spread,252,8.208552433119569e-06,0.0342889754536818,0.9726531533357692,1065
ROK,HGZ26.CMX level,5,-0.04085655771971007,-1.0671658099068726,0.28612270920424443,1143
ROK,HGZ26.CMX level,20,-0.02713536956096189,-0.701723947098595,0.4829963457729307,1128
ROK,HGZ26.CMX level,60,-0.0084279434470933,-0.21174530154372237,0.8323454743609826,1088
ROK,HGZ26.CMX level,90,-0.0209971636886199,-0.508064478708339,0.6115142322194027,1058
ROK,HGZ26.CMX level,130,0.08856097322870725,2.1034331088936047,0.03567330496655225,1018
ROK,HGZ26.CMX level,180,-0.029443661817000095,-0.707354327712135,0.4795169190014553,968
ROK,HGZ26.CMX level,252,-0.013730520019598739,-0.276397732615263,0.7823064825212453,896
ROK,HGZ26.CMX spread,5,-0.00023453958553749607,-0.48719859276152905,0.6262112674925853,1142
ROK,HGZ26.CMX spread,20,0.00021334253489601322,0.441092326396535,0.6592309126227943,1127
ROK,HGZ26.CMX spread,60,0.00015665158429792182,0.32198432919493725,0.74752659024152,1087
ROK,HGZ26.CMX spread,90,-0.0002806217279581019,-0.5741299937756033,0.5660022210539726,1057
ROK,HGZ26.CMX spread,130,-0.00045021221798648993,-0.9167635288921622,0.35948433564003524,1017
ROK,HGZ26.CMX spread,180,-0.0002831183492287055,-0.5946215150428503,0.5522358818969382,967
ROK,HGZ26.CMX spread,252,9.830155299434093e-05,0.20822762344687493,0.8350987221803434,895
ROK,HGZ27.CMX level,5,-0.05968964869588019,-1.4025152169073105,0.16111094612541385,890
ROK,HGZ27.CMX level,20,-0.011435216883500555,-0.26777203607816114,0.7889380481879738,875
ROK,HGZ27.CMX level,60,-0.012621288026649316,-0.2887564826291819,0.7728395769418153,835
ROK,HGZ27.CMX level,90,0.01988105365232952,0.4370820615702112,0.6621693504716264,805
ROK,HGZ27.CMX level,130,0.09347738105621109,2.022381461861304,0.04348537678500578,765
ROK,HGZ27.CMX level,180,-0.02342463164706932,-0.48954353644610943,0.6246075133499296,715
ROK,HGZ27.CMX level,252,-0.05426851099743534,-0.8669435887059486,0.38629732396474725,643
ROK,HGZ27.CMX spread,5,-0.0003384760613346277,-0.9156429895069611,0.3601030337372516,889
ROK,HGZ27.CMX spread,20,0.00012615841032998418,0.34304167844815614,0.731649786456805,874
ROK,HGZ27.CMX spread,60,-2.28428922694827e-05,-0.06256415441933189,0.9501286007963522,834
ROK,HGZ27.CMX spread,90,0.00025402162942027415,0.6923817519702035,0.4888980391788934,804
ROK,HGZ27.CMX spread,130,-8.96582710402301e-05,-0.24429104298546306,0.8070711817403604,764
ROK,HGZ27.CMX spread,180,-0.00048402790654532437,-1.3079468402447139,0.19131346147903358,714
ROK,HGZ27.CMX spread,252,0.00045894430226345507,1.2178348922065967,0.22373551710833417,642
TEL,HG=F front-month,5,-0.028265508447340906,-1.685317647024802,0.09199309851482661,4744
TEL,HG=F front-month,20,0.020432441221751696,1.2197786263487,0.22260946787164437,4744
